xi,beta,gamma,b,kappa,mu,delta1,delta2,delta3,delta4,net_mag,net_rat,h_init,n_init,ws_init,ms_init,wf_init,mf_init
0.0,208.973072492,9.50784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,39.8107170553,0.3,2340.0,15.0,7.0,1623.0,695.0
0.0,208.973072492,23.8826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,6.3095734448,100.0,0.3,2350.0,6.0,3.0,1639.0,702.0
0.0,524.916625343,0.00599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,0.01,0.299065420561,107.0,75.0,32.0,0.0,0.0
0.0,524.916625343,0.01506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,0.0251188643151,0.3,110.0,77.0,33.0,0.0,0.0
0.0,524.916625343,0.0378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,0.063095734448,0.297520661157,121.0,84.0,36.0,1.0,0.0
0.0,524.916625343,0.0950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,0.158489319246,0.296296296296,162.0,111.0,47.0,3.0,1.0
0.0,524.916625343,0.238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,0.398107170553,0.300268096515,746.0,390.0,167.0,132.0,57.0
0.0,524.916625343,0.599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,1.0,0.300059772863,1673.0,402.0,172.0,769.0,330.0
0.0,524.916625343,1.506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,2.51188643151,0.300095877277,2086.0,209.0,90.0,1251.0,536.0
0.0,524.916625343,3.78514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,6.3095734448,0.300133392619,2249.0,91.0,39.0,1483.0,636.0
0.0,524.916625343,9.50784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,15.8489319246,0.299913569576,2314.0,38.0,16.0,1582.0,678.0
0.0,524.916625343,23.8826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,39.8107170553,0.3,2340.0,15.0,7.0,1623.0,695.0
0.0,524.916625343,59.9904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,15.8489319246,100.0,0.3,2350.0,6.0,3.0,1639.0,702.0
0.0,1318.53094887,0.01506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,0.01,0.299065420561,107.0,75.0,32.0,0.0,0.0
0.0,1318.53094887,0.0378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,0.0251188643151,0.3,110.0,77.0,33.0,0.0,0.0
0.0,1318.53094887,0.0950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,0.063095734448,0.297520661157,121.0,84.0,36.0,1.0,0.0
0.0,1318.53094887,0.238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,0.158489319246,0.296296296296,162.0,111.0,47.0,3.0,1.0
0.0,1318.53094887,0.599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,0.398107170553,0.300268096515,746.0,390.0,167.0,132.0,57.0
0.0,1318.53094887,1.506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,1.0,0.300059772863,1673.0,402.0,172.0,769.0,330.0
0.0,1318.53094887,3.78514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,2.51188643151,0.300095877277,2086.0,209.0,90.0,1251.0,536.0
0.0,1318.53094887,9.50784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,6.3095734448,0.300133392619,2249.0,91.0,39.0,1483.0,636.0
0.0,1318.53094887,23.8826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,15.8489319246,0.299913569576,2314.0,38.0,16.0,1582.0,678.0
0.0,1318.53094887,59.9904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,39.8107170553,0.3,2340.0,15.0,7.0,1623.0,695.0
0.0,1318.53094887,150.6892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,39.8107170553,100.0,0.3,2350.0,6.0,3.0,1639.0,702.0
0.0,3312.0,0.0378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,0.01,0.299065420561,107.0,75.0,32.0,0.0,0.0
0.0,3312.0,0.0950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,0.0251188643151,0.3,110.0,77.0,33.0,0.0,0.0
0.0,3312.0,0.238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,0.063095734448,0.297520661157,121.0,84.0,36.0,1.0,0.0
0.0,3312.0,0.599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,0.158489319246,0.296296296296,162.0,111.0,47.0,3.0,1.0
0.0,3312.0,1.506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,0.398107170553,0.300268096515,746.0,390.0,167.0,132.0,57.0
0.0,3312.0,3.78514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,1.0,0.300059772863,1673.0,402.0,172.0,769.0,330.0
0.0,3312.0,9.50784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,2.51188643151,0.300095877277,2086.0,209.0,90.0,1251.0,536.0
0.0,3312.0,23.8826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,6.3095734448,0.300133392619,2249.0,91.0,39.0,1483.0,636.0
0.0,3312.0,59.9904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,15.8489319246,0.299913569576,2314.0,38.0,16.0,1582.0,678.0
0.0,3312.0,150.6892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,39.8107170553,0.3,2340.0,15.0,7.0,1623.0,695.0
0.0,3312.0,378.514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,100.0,100.0,0.3,2350.0,6.0,3.0,1639.0,702.0
